,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
0,Āreka,ET,7.0667,37.7,1624742102,60.46,97,100,4.97
1,Yeppoon,AU,-23.1333,150.7333,1624742102,55.18,94,100,10.13
2,Bambous Virieux,MU,-20.3428,57.7575,1624742103,72.21,80,31,8.46
3,Hamilton,US,39.1834,-84.5333,1624741831,88.21,61,75,1.99
4,Albany,US,42.6001,-73.9662,1624742104,83.73,67,100,11.03
5,Hilo,US,19.7297,-155.09,1624742104,83.8,65,1,10.36
6,Port Alfred,ZA,-33.5906,26.891,1624742105,57.69,73,51,16.62
7,Acapulco de Juárez,MX,16.8634,-99.8901,1624742105,80.42,74,90,4.61
8,Bulanash,RU,57.2783,61.9965,1624742106,61.61,98,42,7.54
9,Tilichiki,RU,60.4667,166.1,1624742106,52.21,80,77,4.29
10,Jamestown,US,42.097,-79.2353,1624741903,83.52,63,90,11.01
11,Vallenar,CL,-28.5708,-70.7581,1624742107,65.26,37,0,3.96
12,Ancud,CL,-41.8697,-73.8203,1624742107,45.93,76,6,5.28
13,Tamiahua,MX,21.2667,-97.45,1624742108,85.78,67,96,14.07
14,Baykit,RU,61.67,96.37,1624741558,48.97,96,100,3.83
15,Tuktoyaktuk,CA,69.4541,-133.0374,1624742109,42.3,72,22,7.45
16,Bredasdorp,ZA,-34.5322,20.0403,1624742109,56.28,81,100,6.24
17,Cape Town,ZA,-33.9258,18.4232,1624741989,57.88,68,100,1.99
18,Ribeira Grande,PT,38.5167,-28.7,1624742110,68.5,75,24,10.58
19,Wanaka,NZ,-44.7,169.15,1624742110,43.11,99,46,5.01
20,Portland,US,45.5234,-122.6762,1624741507,105.87,35,20,1.99
21,Valença,BR,-13.3703,-39.0731,1624742111,70.84,78,11,4.76
22,Rikitea,PF,-23.1203,-134.9692,1624742111,74.53,76,3,10.71
23,Salisbury,GB,51.0693,-1.7957,1624742111,63.34,76,87,6.17
24,Ushuaia,AR,-54.8,-68.3,1624742075,38.86,70,0,3.44
25,Saint-Philippe,RE,-21.3585,55.7679,1624742112,68.22,80,19,8.01
26,College,US,64.8569,-147.8028,1624742113,67.66,50,75,6.91
27,Narsaq,GL,60.9167,-46.05,1624742113,62.82,88,93,2.64
28,Hermanus,ZA,-34.4187,19.2345,1624742113,56.8,75,98,9.57
29,Kharan,PK,28.5833,65.4167,1624742114,86.49,12,0,4.72
30,Provideniya,RU,64.3833,-173.3,1624742114,47.26,83,100,10.2
31,Barrow,US,71.2906,-156.7887,1624742115,53.62,76,1,13.8
32,Esim,GH,4.8699,-2.2405,1624742116,76.19,89,100,4.52
33,Punta Arenas,CL,-53.15,-70.9167,1624742116,39.11,81,0,9.22
34,Yellowknife,CA,62.456,-114.3525,1624742064,78.57,39,8,17.0
35,Port Keats,AU,-14.25,129.55,1624742117,66.76,53,87,11.45
36,Vestmannaeyjar,IS,63.4427,-20.2734,1624742117,49.55,86,27,7.67
37,Codrington,AU,-38.2667,141.9667,1624742118,51.71,86,65,7.38
38,Constantine,DZ,36.365,6.6147,1624742118,73.36,58,83,2.68
39,Jand,PK,33.4299,72.0193,1624742119,90.63,35,31,2.55
40,Saint-Pierre,RE,-21.3393,55.4781,1624742119,69.44,73,75,5.75
41,Kaitangata,NZ,-46.2817,169.8464,1624742120,45.05,90,100,4.74
42,Butaritari,KI,3.0707,172.7902,1624742120,81.88,76,100,12.26
43,Maltahöhe,NA,-24.8333,16.9833,1624742120,53.11,23,0,4.16
44,Poum,NC,-20.2333,164.0167,1624741527,74.3,76,94,14.88
45,Airai,TL,-8.9266,125.4092,1624742121,58.41,94,89,4.34
46,Mataura,NZ,-46.1927,168.8643,1624742121,42.48,94,100,2.71
47,Quatre Cocos,MU,-20.2078,57.7625,1624742122,72.09,82,22,7.56
48,Salto,UY,-31.3833,-57.9667,1624741954,55.87,83,100,10.0
49,Bethel,US,41.3712,-73.414,1624742122,81.66,79,75,13.8
50,Longyearbyen,SJ,78.2186,15.6401,1624742123,42.64,75,0,6.91
51,Flinders,AU,-34.5833,150.8552,1624742123,51.06,71,0,3.0
52,Castro,BR,-24.7911,-50.0119,1624742124,61.5,85,0,4.7
53,Crişan,RO,44.9667,29.4667,1624742124,72.19,77,7,6.8
54,Nikolskoye,RU,59.7035,30.7861,1624742125,67.89,91,6,3.53
55,Pevek,RU,69.7008,170.3133,1624742125,42.26,59,100,10.02
56,Ternate,ID,0.8,127.4,1624742126,79.84,80,100,6.33
57,Khatanga,RU,71.9667,102.5,1624742126,48.07,49,90,6.91
58,Nome,US,64.5011,-165.4064,1624742127,56.16,71,40,16.11
59,Sydney,AU,-33.8679,151.2073,1624741982,47.39,83,20,3.0
60,Vostok,RU,46.4856,135.8833,1624742128,63.68,77,90,2.53
61,Aksu,CN,41.1231,80.2644,1624742128,75.02,29,4,7.31
62,Eureka,US,40.8021,-124.1637,1624742129,71.2,74,54,5.99
63,Hirara,JP,24.8,125.2833,1624742129,82.94,85,100,16.58
64,Kapaa,US,22.0752,-159.319,1624742129,84.52,73,1,4.0
65,Nosy Varika,MG,-20.5833,48.5333,1624742130,65.44,88,19,5.46
66,Eyl,SO,7.9803,49.8164,1624742130,78.03,76,88,23.82
67,East London,ZA,-33.0153,27.9116,1624742038,59.11,65,23,13.35
68,São José da Coroa Grande,BR,-8.8978,-35.1478,1624742131,74.57,72,91,10.2
69,Krutinka,RU,56.0055,71.5113,1624742131,54.45,76,99,7.61
70,Verāval,IN,20.9,70.3667,1624741890,83.17,75,52,14.09
71,Severo-Kuril'sk,RU,50.6789,156.125,1624742132,45.7,89,83,15.19
72,Baghdad,IQ,33.3406,44.4009,1624742101,91.31,25,0,6.91
73,Raja,SS,8.4596,25.678,1624742133,71.87,77,82,6.06
74,Tasiilaq,GL,65.6145,-37.6368,1624742133,51.96,61,3,6.17
75,Paamiut,GL,61.994,-49.6678,1624742134,43.03,98,98,9.84
76,Thompson,CA,55.7435,-97.8558,1624742039,74.79,21,99,4.65
77,Half Moon Bay,US,37.4636,-122.4286,1624742134,92.91,68,75,3.0
78,Port Elizabeth,ZA,-33.918,25.5701,1624742135,57.49,72,0,14.97
79,Puerto Ayora,EC,-0.7393,-90.3518,1624742135,78.76,89,53,5.99
80,Chokurdakh,RU,70.6333,147.9167,1624742136,61.75,52,100,9.53
81,Ukiah,US,39.1502,-123.2078,1624742136,109.04,28,1,5.75
82,Mount Isa,AU,-20.7333,139.5,1624742137,47.97,66,7,10.36
83,Yulara,AU,-25.2406,130.9889,1624742137,39.04,81,5,6.91
84,Virginia Beach,US,36.8529,-75.978,1624742137,82.45,82,90,8.05
85,Lata,PT,40.1629,-8.3327,1624742138,65.05,96,39,4.12
86,New Norfolk,AU,-42.7826,147.0587,1624742138,47.91,79,82,1.01
87,Lebu,CL,-37.6167,-73.65,1624742139,48.4,71,1,13.49
88,San Vicente,AR,-26.6167,-54.1333,1624742139,71.13,60,94,7.4
89,Hithadhoo,MV,-0.6,73.0833,1624742139,82.92,71,100,12.35
90,São Filipe,CV,14.8961,-24.4956,1624742140,77.05,81,58,5.79
91,Topaowan,CN,30.67,112.6895,1624742140,75.45,97,100,4.32
92,Bluff,NZ,-46.6,168.3333,1624742141,42.8,89,100,8.68
93,Clocolan,ZA,-28.9137,27.5656,1624742141,35.67,53,5,1.72
94,Poronaysk,RU,49.2167,143.1167,1624742142,46.38,92,100,8.03
95,Tiksi,RU,71.6872,128.8694,1624742142,34.57,87,100,6.87
96,Clyde River,CA,70.4692,-68.5914,1624742142,35.83,100,90,17.27
97,Faanui,PF,-16.4833,-151.75,1624742143,80.74,76,5,8.23
98,Reporoa,NZ,-38.4333,176.35,1624742143,58.33,98,100,7.87
99,Teguise,ES,29.0605,-13.564,1624742144,66.42,73,20,17.27
100,Andra,RU,62.5147,65.8878,1624742144,55.69,67,100,3.29
101,Qasigiannguit,GL,68.8193,-51.1922,1624742144,48.45,80,100,5.06
102,Phang Nga,TH,8.4509,98.5298,1624742145,86.83,95,60,2.64
103,Yerbogachën,RU,61.2767,108.0108,1624742145,54.43,92,100,5.03
104,Ketchikan,US,55.3422,-131.6461,1624742146,72.07,68,1,11.5
105,Kumul,CN,42.8,93.45,1624742146,79.23,21,89,6.6
106,Geraldton,AU,-28.7667,114.6,1624742147,46.81,76,0,17.27
107,Cabo San Lucas,MX,22.8909,-109.9124,1624741991,99.52,54,1,19.57
108,Jumla,NP,29.2747,82.1838,1624742147,58.17,91,85,2.13
109,Basco,PH,20.4487,121.9702,1624742148,83.93,82,98,20.31
110,Salalah,OM,17.0151,54.0924,1624742148,82.49,83,75,5.75
111,Kununurra,AU,-15.7667,128.7333,1624741927,66.18,39,100,9.22
112,Sinnamary,GF,5.3833,-52.95,1624742149,79.14,82,36,7.96
113,Vaini,TO,-21.2,-175.2,1624742149,71.76,78,20,12.66
114,Qaanaaq,GL,77.484,-69.3632,1624742150,40.75,72,13,4.59
115,Pangnirtung,CA,66.1451,-65.7125,1624742150,41.41,95,100,4.63
116,Atuona,PF,-9.8,-139.0333,1624742151,78.49,73,58,22.39
117,Asău,RO,46.4333,26.4,1624742151,70.72,93,49,4.34
118,Goderich,CA,43.7501,-81.7165,1624742113,76.03,98,100,14.88
119,Vila Velha,BR,-20.3297,-40.2925,1624742152,71.55,78,40,5.75
120,Bengkulu,ID,-3.8004,102.2655,1624742153,74.62,90,38,3.96
121,Ponta do Sol,PT,32.6667,-17.1,1624742153,70.0,74,17,3.56
122,Tuatapere,NZ,-46.1333,167.6833,1624742153,42.82,93,100,3.83
123,George Town,MY,5.4112,100.3354,1624741982,79.9,87,20,0.0
124,Peachtree City,US,33.3968,-84.5958,1624741903,88.47,69,75,0.0
125,Cherskiy,RU,68.75,161.3,1624742154,70.27,36,100,7.0
126,Lorengau,PG,-2.0226,147.2712,1624742155,80.46,79,72,4.65
127,Laurel,US,39.0993,-76.8483,1624742155,88.25,66,75,4.0
128,Port Blair,IN,11.6667,92.75,1624742155,81.16,77,97,8.63
129,Sioux City,US,42.5,-96.4003,1624742118,68.86,82,90,5.99
130,Sokoni,TZ,-6.4333,39.55,1624742156,76.62,68,0,11.92
131,Ust'-Ilimsk,RU,58.0006,102.6619,1624742157,48.4,96,6,4.88
132,Mola di Bari,IT,41.0609,17.0873,1624742157,82.9,61,2,5.23
133,Palmer,US,42.1584,-72.3287,1624741882,81.21,67,99,10.0
134,Olafsvik,IS,64.8945,-23.7142,1624742158,49.05,86,100,12.41
135,Te Anau,NZ,-45.4167,167.7167,1624742158,46.53,92,100,3.8
136,Beringovskiy,RU,63.05,179.3167,1624742159,39.78,83,17,6.02
137,Salima,MW,-13.7804,34.4587,1624742159,63.52,61,0,3.96
138,Ol'ga,RU,43.7444,135.2892,1624742160,56.77,92,57,2.73
139,Upernavik,GL,72.7868,-56.1549,1624742160,38.16,96,100,12.93
140,Grand Gaube,MU,-20.0064,57.6608,1624742161,72.37,81,1,5.01
141,Balgazyn,RU,51.0,95.2,1624742161,47.64,72,87,1.23
142,Kenai,US,60.5544,-151.2583,1624742161,57.29,58,75,9.22
143,Carnarvon,AU,-24.8667,113.6333,1624742162,46.47,56,100,5.75
144,Dikson,RU,73.5069,80.5464,1624742162,32.29,86,19,2.06
145,Saint George,US,37.1041,-113.5841,1624742163,99.95,15,1,3.0
146,Arraial do Cabo,BR,-22.9661,-42.0278,1624742163,73.26,78,0,13.8
147,Haines Junction,CA,60.7522,-137.5108,1624742164,63.88,61,99,9.53
148,Praia,CV,14.9215,-23.5087,1624742165,77.54,78,40,9.22
149,Itarema,BR,-2.9248,-39.9167,1624742165,77.7,76,2,8.75
150,Berlevåg,NO,70.8578,29.0864,1624742165,46.65,88,100,1.7
151,Inírida,CO,3.8653,-67.9239,1624742166,83.57,74,72,1.14
152,Sitka,US,57.0531,-135.33,1624742166,60.69,82,75,3.44
153,Cork,IE,51.898,-8.4706,1624742167,56.97,78,20,11.5
154,Yar-Sale,RU,66.8333,70.8333,1624742167,44.6,61,100,6.33
155,Kavieng,PG,-2.5744,150.7967,1624742168,81.36,75,100,3.94
156,Lavrentiya,RU,65.5833,-171.0,1624742168,43.83,87,100,7.92
157,Lahaina,US,20.8783,-156.6825,1624742169,86.0,72,33,5.73
158,Bemidji,US,47.4736,-94.8803,1624741944,71.89,64,40,0.0
159,Abhā,SA,18.2164,42.5053,1624741996,71.85,8,0,5.75
160,Mogadishu,SO,2.0371,45.3438,1624742088,77.23,85,46,18.19
161,Sijunjung,ID,-0.6876,100.9537,1624742170,69.58,99,48,1.36
162,Yangi Marg`ilon,UZ,40.4272,71.7189,1624742170,72.32,35,0,9.22
163,São Félix do Xingu,BR,-6.6447,-51.995,1624742170,83.08,50,66,0.16
164,Te Karaka,NZ,-38.4654,177.8679,1624742171,60.98,83,100,7.18
165,Najrān,SA,17.4924,44.1277,1624742171,83.05,12,100,3.65
166,Henties Bay,NA,-22.116,14.2845,1624741593,58.96,77,3,4.03
167,Isangel,VU,-19.55,169.2667,1624742172,75.31,78,75,5.75
168,Wagga Wagga,AU,-35.1167,147.3667,1624742172,42.6,90,55,3.2
169,Monroe,US,43.1501,-77.6831,1624742113,89.98,55,75,13.8
170,Cidreira,BR,-30.1811,-50.2056,1624742173,61.7,96,100,12.1
171,Garoowe,SO,8.4054,48.4845,1624742173,77.49,58,91,24.87
172,Bosaso,SO,11.2842,49.1816,1624742174,92.88,41,76,20.54
173,Halifax,CA,44.6453,-63.5724,1624741877,79.41,85,90,5.01
174,Lima,PE,-12.0432,-77.0282,1624742124,71.91,69,90,5.75
175,Venezuela,VE,8.0,-66.0,1624742175,89.76,49,46,10.94
176,Margate,GB,51.3813,1.3862,1624742175,63.7,97,98,4.0
177,Avarua,CK,-21.2078,-159.775,1624742175,73.45,73,20,18.41
178,Antofagasta,CL,-23.65,-70.4,1624742046,60.08,82,99,9.37
179,Corbu,RO,44.3833,28.65,1624742176,73.13,88,0,6.91
180,Štúrovo,SK,47.7949,18.7175,1624742177,73.89,77,0,3.0
181,Souillac,MU,-20.5167,57.5167,1624742177,72.36,83,75,6.91
182,San Ramon,US,37.7799,-121.978,1624742178,96.24,44,1,5.99
183,Winslow,US,35.0242,-110.6974,1624741899,89.96,16,40,1.99
184,Tabuk,PH,17.4189,121.4443,1624742178,75.43,86,70,1.77
185,Sterling,US,39.0062,-77.4286,1624742179,87.94,62,75,1.99
186,Alice Springs,AU,-23.7,133.8833,1624742157,29.75,100,0,0.0
187,Fukuechō,JP,32.6881,128.8419,1624742179,71.69,86,100,11.74
188,Kiryat Gat,IL,31.61,34.7642,1624742180,78.4,73,0,0.65
189,Plastun,RU,44.7561,136.2939,1624742180,57.81,89,70,1.48
190,Bonthe,SL,7.5264,-12.505,1624742181,78.08,83,88,5.08
191,San Patricio,US,28.017,-97.5169,1624742181,93.88,59,76,18.43
192,Gallup,US,35.5281,-108.7426,1624742006,80.44,23,1,4.0
193,Tura,IN,25.5198,90.2201,1624742182,73.45,98,95,5.28
194,Naze,JP,28.3667,129.4833,1624742182,76.51,90,100,12.37
195,Port Saint Lucie,US,27.2939,-80.3503,1624742148,86.04,78,75,5.01
196,Port Hardy,CA,50.6996,-127.4199,1624742113,73.15,68,12,2.26
197,Busselton,AU,-33.65,115.3333,1624742183,56.05,62,77,25.43
198,Verkhnevilyuysk,RU,63.4453,120.3167,1624742184,64.78,85,89,0.65
199,Praia da Vitória,PT,38.7333,-27.0667,1624742184,71.85,78,40,4.7
200,Mount Gambier,AU,-37.8333,140.7667,1624742185,44.51,100,40,4.61
201,Rawson,AR,-43.3002,-65.1023,1624742185,44.4,68,100,25.93
202,São Desidério,BR,-12.3633,-44.9733,1624742185,75.36,27,0,6.24
203,Biloela,AU,-24.4167,150.5,1624742186,51.93,72,100,10.02
204,Adrar,MR,20.5022,-10.0711,1624742186,95.52,13,5,7.31
205,Oranzherei,RU,45.8476,47.5663,1624742187,80.56,52,85,11.48
206,Lagoa,PT,39.05,-27.9833,1624742187,67.32,76,23,10.94
207,Takoradze,GH,4.8845,-1.7554,1624742187,75.47,93,100,1.7
208,Roebourne,AU,-20.7833,117.1333,1624742188,64.67,46,100,7.87
209,Komatipoort,ZA,-25.4332,31.9548,1624742189,56.05,79,0,5.03
210,Kalmunai,LK,7.4167,81.8167,1624742189,80.49,72,97,6.62
211,Ilulissat,GL,69.2167,-51.1,1624742189,48.22,71,75,5.75
212,Tahe,CN,52.3333,124.7333,1624742190,62.51,89,48,1.57
213,Port Macquarie,AU,-31.4333,152.9167,1624742190,40.37,72,0,4.59
214,Kruisfontein,ZA,-34.0033,24.7314,1624742191,52.88,80,94,10.18
215,Cayenne,GF,4.9333,-52.3333,1624742087,84.24,76,0,3.0
216,Sucúa,EC,-2.4667,-78.1667,1624742191,83.14,47,40,3.44
217,Clovis,US,36.8252,-119.7029,1624742123,106.12,29,20,3.0
218,Saint Anthony,US,45.0205,-93.218,1624742192,73.42,90,90,6.91
219,Fomboni,KM,-12.28,43.7425,1624742192,77.79,66,3,8.52
220,Krasnosel'kup,RU,65.7,82.4667,1624742193,44.13,64,12,16.91
221,Klaksvík,FO,62.2266,-6.589,1624742193,47.32,80,1,8.97
222,Bairiki Village,KI,1.3292,172.9752,1624742194,86.0,74,75,10.36
223,Beroroha,MG,-21.6667,45.1667,1624742194,60.76,47,0,0.92
224,Marawi,PH,7.9986,124.2928,1624742194,67.64,93,100,1.86
225,Vila,PT,42.0304,-8.1588,1624741606,58.75,86,100,3.49
226,Labuhan,ID,-6.8844,112.2051,1624742195,77.4,88,78,5.01
227,Afşin,TR,38.2477,36.914,1624742196,64.4,58,1,4.45
228,Aykhal,RU,66.0,111.5,1624742196,63.3,65,32,6.96
229,Soe,ID,-9.8607,124.284,1624742196,66.24,90,100,5.7
230,Puerto Suárez,BO,-18.95,-57.8,1624742197,88.36,45,0,8.05
231,Morros,BR,-9.4467,-46.3003,1624742197,78.78,34,0,2.24
232,Wukari,NG,7.85,9.7833,1624742198,76.5,85,96,6.2
233,Broome,US,42.2506,-75.833,1624742198,87.1,56,1,3.0
234,Santa Cruz de la Sierra,BO,-17.8,-63.1667,1624742150,81.86,65,75,13.8
235,Vardø,NO,70.3705,31.1107,1624742199,46.38,81,75,3.44
236,Alofi,NU,-19.0595,-169.9187,1624742199,75.09,69,35,20.71
237,Indramayu,ID,-6.3264,108.32,1624742199,78.62,83,61,6.35
238,Constitución,CL,-35.3333,-72.4167,1624742200,50.83,53,0,12.73
239,Guerrero Negro,MX,27.9769,-114.0611,1624741962,74.07,62,10,17.31
240,Tromsø,NO,69.6496,18.957,1624742200,48.85,87,75,1.01
241,Winnemucca,US,40.973,-117.7357,1624742201,91.45,17,1,3.44
242,Saint Paul Harbor,US,57.79,-152.4072,1624741914,53.11,82,90,9.22
243,Vilyuysk,RU,63.7553,121.6247,1624742202,67.32,76,39,3.2
244,Platteville,US,42.7342,-90.4785,1624742202,79.03,94,90,12.66
245,Prachuap Khiri Khan,TH,12.2167,99.75,1624742203,72.72,91,99,3.18
246,Riyadh,SA,24.6877,46.7219,1624741962,91.54,10,0,1.25
247,Uppsala County,SE,60.0,17.75,1624742203,62.42,87,21,1.14
248,Saskylakh,RU,71.9167,114.0833,1624742204,45.07,58,87,8.79
