City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kapaa,1,US,1624738885,72,22.0752,-159.319,84.52,1.01
torbay,75,CA,1624738886,57,47.6666,-52.7314,71.89,21.85
comarapa,68,BO,1624738886,76,-17.9,-64.4833,61.36,6.91
meulaboh,99,ID,1624738826,91,4.1363,96.1285,75.33,5.39
hermanus,100,ZA,1624738887,75,-34.4187,19.2345,56.8,11.03
mataura,100,NZ,1624738887,94,-46.1927,168.8643,42.48,3.15
fortuna,1,US,1624738888,77,40.5982,-124.1573,99.19,14.97
svetlogorsk,100,BY,1624738888,97,52.6333,29.7333,63.55,4.23
rikitea,1,PF,1624738889,77,-23.1203,-134.9692,74.32,10.89
tuktoyaktuk,40,CA,1624738889,66,69.4541,-133.0374,50.0,9.22
sorland,96,NO,1624738890,83,67.667,12.6934,49.89,29.1
cabo san lucas,1,MX,1624738802,45,22.8909,-109.9124,98.51,9.22
belmonte,13,BR,1624738724,65,-15.8631,-38.8828,77.0,9.82
yar-sale,100,RU,1624738890,59,66.8333,70.8333,44.85,6.6
oistins,40,BB,1624738891,58,13.0667,-59.5333,84.29,20.71
atuona,46,PF,1624738891,78,-9.8,-139.0333,78.01,20.15
bluff,100,NZ,1624738892,88,-46.6,168.3333,42.8,8.77
saint-leu,0,RE,1624738892,91,-21.15,55.2833,67.06,4.36
half moon bay,75,US,1624738893,68,37.4636,-122.4286,90.75,1.99
slave lake,1,CA,1624738893,61,55.2834,-114.769,78.78,8.05
ushuaia,0,AR,1624738893,70,-54.8,-68.3,38.86,0.0
nyurba,21,RU,1624738894,85,63.2842,118.3319,63.16,1.72
olinda,20,BR,1624738646,65,-8.0089,-34.8553,76.73,14.97
nouadhibou,3,MR,1624738894,78,20.931,-17.0347,69.78,20.71
pierre,20,US,1624738846,73,44.3683,-100.351,81.52,8.01
albany,100,US,1624738895,68,42.6001,-73.9662,84.31,11.03
longyearbyen,0,SJ,1624738896,75,78.2186,15.6401,42.64,11.5
norfolk,20,US,1624738609,75,42.1668,-71.2495,84.87,1.99
lazaro cardenas,100,MX,1624738896,91,17.9583,-102.2,73.26,11.65
sitka,75,US,1624738897,82,57.0531,-135.33,60.69,5.75
thinadhoo,96,MV,1624738897,73,0.5333,72.9333,82.08,10.07
saurimo,0,AO,1624738898,42,-9.6608,20.3916,65.03,5.12
hobart,40,AU,1624738898,75,-42.8794,147.3294,48.92,3.0
acapulco,90,MX,1624738751,88,16.8634,-99.8901,76.82,9.22
dalupirip,82,PH,1624738899,82,16.3258,120.7256,74.12,4.14
puerto ayora,51,EC,1624738899,83,-0.7393,-90.3518,80.56,7.0
sao joao da barra,10,BR,1624738899,71,-21.6403,-41.0511,73.49,12.97
strai,20,NO,1624738900,63,58.2,7.9,65.1,4.0
saskylakh,93,RU,1624738900,59,71.9167,114.0833,44.49,8.28
sept-iles,75,CA,1624738639,77,50.2001,-66.3821,66.72,9.22
dunmore town,12,BS,1624738901,73,25.5,-76.65,81.36,14.16
kashi,0,CN,1624738901,12,39.4547,75.9797,81.61,17.9
thompson,40,CA,1624738902,35,55.7435,-97.8558,69.96,5.75
dzhankoy,99,UA,1624738902,80,45.7167,34.4,69.67,7.99
itarema,3,BR,1624738903,72,-2.9248,-39.9167,80.15,9.86
bethel,98,US,1624738903,84,41.3712,-73.414,81.95,1.01
avarua,40,CK,1624738903,64,-21.2078,-159.775,75.25,21.85
jamestown,90,US,1624738904,62,42.097,-79.2353,85.32,8.01
komsomolskiy,0,UZ,1624738904,35,40.4272,71.7189,72.82,6.91
marawi,100,PH,1624738905,94,7.9986,124.2928,67.64,2.08
tyulgan,22,RU,1624738905,81,52.3405,56.166,66.49,4.88
kruisfontein,92,ZA,1624738905,75,-34.0033,24.7314,52.88,14.0
gravdal,80,NO,1624738906,83,68.1214,13.5031,49.46,24.27
barrow,40,US,1624738906,67,71.2906,-156.7887,57.22,18.41
constitucion,0,CL,1624738907,49,-35.3333,-72.4167,52.21,12.41
ponta do sol,21,PT,1624738620,72,32.6667,-17.1,72.01,2.93
manuk mangkaw,31,PH,1624738907,71,4.8,119.85,83.39,3.15
olafsvik,100,IS,1624738907,81,64.8945,-23.7142,50.05,13.4
grootfontein,5,NA,1624738908,38,-19.5667,18.1167,56.77,4.61
carnarvon,100,AU,1624738908,54,-24.8667,113.6333,64.24,12.37
codrington,57,AU,1624738909,87,-38.2667,141.9667,51.37,7.94
sinjai,100,ID,1624738909,92,-5.1241,120.253,74.37,3.49
port alfred,27,ZA,1624738910,69,-33.5906,26.891,59.04,20.76
itabira,1,BR,1624738910,62,-19.6192,-43.2269,67.05,4.43
honningsvag,100,NO,1624738911,91,70.9821,25.9704,45.14,1.16
nyimba,2,ZM,1624738911,50,-14.5566,30.8149,63.41,5.23
ilulissat,75,GL,1624738912,66,69.2167,-51.1,48.22,9.22
isangel,7,VU,1624738912,72,-19.55,169.2667,73.71,13.67
effium,97,NG,1624738912,85,6.6292,8.0593,74.86,5.48
yellowknife,40,CA,1624738811,38,62.456,-114.3525,79.32,17.27
aksu,5,CN,1624738913,30,41.1231,80.2644,75.36,6.2
kodiak,90,US,1624738914,87,57.79,-152.4072,51.31,6.91
van buren,40,US,1624738914,56,35.4368,-94.3483,91.44,3.0
nikolskoye,8,RU,1624738915,90,59.7035,30.7861,69.69,3.98
lebu,1,CL,1624738915,71,-37.6167,-73.65,49.26,14.14
chapais,100,CA,1624738663,97,49.7834,-74.8492,64.18,6.78
saint peter,23,BB,1624738915,70,13.25,-59.6167,82.96,20.09
busselton,70,AU,1624738916,62,-33.65,115.3333,57.04,24.63
grimshaw,40,CA,1624738916,37,56.1834,-117.6027,86.7,6.91
mareeba,81,AU,1624738917,98,-17.0,145.4333,65.12,2.73
georgetown,20,MY,1624738917,88,5.4112,100.3354,79.9,2.3
hithadhoo,100,MV,1624738917,70,-0.6,73.0833,82.92,12.82
semporna,54,MY,1624738918,80,4.4818,118.6112,75.4,0.31
